,year,mth,beg_of_mth_lvl,rainfall,mth_rain_ptntl,mth_rain_coll,mth_rain_ovflw,tnkr_amt,end_of_mth_lvl,mth_usage
0,2004,1,5000,26.9,1722,1722,0,12000,3222,15500
1,2004,2,3222,0,0,0,0,18000,6722,14000
2,2004,3,6722,32.3,2068,2068,0,12000,5290,15500
3,2004,4,5290,164.1,10504,10504,0,6000,6794,15000
4,2004,5,6794,168.8,10802,10330,472,6000,7624,15500
5,2004,6,7624,183,11715,11715,0,0,4339,15000
6,2004,7,4339,459.5,29408,14372,15036,6000,9211,15500
7,2004,8,9211,219.4,14042,14042,0,0,7753,15500
8,2004,9,7753,199.1,12741,12136,605,0,4889,15000
9,2004,10,4889,120.5,7712,7712,0,6000,3101,15500
10,2004,11,3101,36,2304,2304,0,18000,8405,15000
11,2004,12,8405,0,0,0,0,12000,4905,15500
12,2005,1,4905,55.1,3527,3527,0,12000,4932,15500
13,2005,2,4932,17,1088,1088,0,12000,4020,14000
14,2005,3,4020,50.1,3207,3207,0,12000,3727,15500
15,2005,4,3727,34.8,2228,2228,0,18000,8955,15000
16,2005,5,8955,40.6,2599,2599,0,12000,8054,15500
17,2005,6,8054,222.9,14266,10946,3320,6000,10000,15000
18,2005,7,10000,253.5,16225,10971,5254,0,5471,15500
19,2005,8,5471,309.3,19794,18182,1612,0,8153,15500
20,2005,9,8153,126.5,8096,8096,0,6000,7249,15000
21,2005,10,7249,126.1,8070,7879,191,6000,5628,15500
22,2005,11,5628,0,0,0,0,12000,2628,15000
23,2005,12,2628,0,0,0,0,18000,5128,15500
24,2006,1,5128,0,0,0,0,18000,7628,15500
25,2006,2,7628,0,0,0,0,12000,5628,14000
26,2006,3,5628,30.9,1978,1978,0,12000,4106,15500
27,2006,4,4106,132.8,8500,8500,0,6000,3606,15000
28,2006,5,3606,145.5,9314,9314,0,6000,3420,15500
29,2006,6,3420,216.2,13837,13837,0,6000,8257,15000
30,2006,7,8257,337,21567,16072,5495,0,8829,15500
31,2006,8,8829,248.4,15898,15439,459,0,8768,15500
32,2006,9,8768,217.5,13921,13921,0,0,7689,15000
33,2006,10,7689,43.9,2809,2809,0,12000,6998,15500
34,2006,11,6998,1.5,96,96,0,12000,4094,15000
35,2006,12,4094,17.5,1120,1120,0,18000,7714,15500
36,2007,1,7714,0,0,0,0,12000,4214,15500
37,2007,2,4214,72.8,4659,4659,0,12000,6873,14000
38,2007,3,6873,36.3,2323,2323,0,12000,5696,15500
39,2007,4,5696,77.9,4986,4986,0,12000,7682,15000
40,2007,5,7682,90.7,5805,5759,46,6000,3941,15500
41,2007,6,3941,263,16832,14059,2773,6000,9000,15000
42,2007,7,9000,227.3,14547,14547,0,0,8047,15500
43,2007,8,8047,223.7,14318,14318,0,0,6865,15500
44,2007,9,6865,332.5,21281,17323,3958,0,9188,15000
45,2007,10,9188,18.5,1184,1184,0,12000,6872,15500
46,2007,11,6872,3.2,205,205,0,12000,4077,15000
47,2007,12,4077,0,0,0,0,18000,6577,15500
48,2008,1,6577,4.9,314,314,0,12000,3391,15500
49,2008,2,3391,0,0,0,0,18000,6891,14000
50,2008,3,6891,35.9,2297,2297,0,12000,5688,15500
51,2008,4,5688,43.7,2796,2796,0,12000,5484,15000
52,2008,5,5484,99.9,6395,6395,0,12000,8379,15500
53,2008,6,8379,237.7,15214,15214,0,0,8593,15000
54,2008,7,8593,255.4,16346,16346,0,0,9439,15500
55,2008,8,9439,240.8,15409,12315,3094,0,6254,15500
56,2008,9,6254,291.3,18644,10136,8508,6000,7390,15000
57,2008,10,7390,10.3,659,659,0,12000,4549,15500
58,2008,11,4549,0,0,0,0,18000,7549,15000
59,2008,12,7549,0,0,0,0,12000,4049,15500
60,2009,1,4049,0,0,0,0,18000,6549,15500
61,2009,2,6549,0,0,0,0,12000,4549,14000
62,2009,3,4549,28.4,1817,1817,0,18000,8866,15500
63,2009,4,8866,21.3,1364,1364,0,12000,7230,15000
64,2009,5,7230,132,8449,8449,0,6000,6179,15500
65,2009,6,6179,125,8000,6665,1335,12000,9844,15000
66,2009,7,9844,326.3,20882,15212,5670,0,9556,15500
67,2009,8,9556,382.9,24506,15455,9051,0,9511,15500
68,2009,9,9511,113.4,7258,7019,239,6000,7530,15000
69,2009,10,7530,71.5,4576,4576,0,6000,2606,15500
70,2009,11,2606,1,64,64,0,18000,5670,15000
71,2009,12,5670,3.6,230,230,0,18000,8400,15500
72,2010,1,8400,1.9,122,122,0,12000,5022,15500
73,2010,2,5022,23.3,1492,1492,0,12000,4514,14000
74,2010,3,4514,35.7,2285,2285,0,12000,3299,15500
75,2010,4,3299,45.3,2899,2899,0,18000,9198,15000
76,2010,5,9198,148,9472,7933,1539,6000,7631,15500
77,2010,6,7631,141.7,9070,7515,1555,6000,6146,15000
78,2010,7,6146,354.9,22714,19354,3360,0,10000,15500
79,2010,8,10000,486.3,31123,14698,16425,0,9198,15500
80,2010,9,9198,217.1,13895,7994,5901,6000,8192,15000
81,2010,10,8192,24.5,1568,1568,0,12000,6260,15500
82,2010,11,6260,0,0,0,0,12000,3260,15000
83,2010,12,3260,0,0,0,0,18000,5760,15500
84,2011,1,5760,6.2,397,397,0,12000,2657,15500
85,2011,2,2657,54.9,3514,3514,0,12000,4171,14000
86,2011,3,4171,16.4,1050,1050,0,18000,7721,15500
87,2011,4,7721,56.8,3637,3637,0,12000,8358,15000
88,2011,5,8358,167.4,10714,10714,0,0,3572,15500
89,2011,6,3572,306,19584,15428,4156,6000,10000,15000
90,2011,7,10000,437.8,28021,14967,13054,0,9467,15500
91,2011,8,9467,265.4,16987,14711,2276,0,8678,15500
92,2011,9,8678,318,20352,16155,4197,0,9833,15000
93,2011,10,9833,13,831,831,0,12000,7164,15500
94,2011,11,7164,12.9,826,826,0,12000,4990,15000
95,2011,12,4990,0,0,0,0,18000,7490,15500
96,2012,1,7490,17.8,1139,1139,0,12000,5129,15500
97,2012,2,5129,41.8,2675,2675,0,12000,5304,14000
98,2012,3,5304,15.6,999,999,0,12000,2803,15500
99,2012,4,2803,80.1,5127,5127,0,12000,4930,15000
100,2012,5,4930,42.2,2701,2701,0,12000,4131,15500
101,2012,6,4131,149.2,9550,9550,0,6000,4681,15000
102,2012,7,4681,452.3,28949,20819,8130,0,10000,15500
103,2012,8,10000,289.6,18534,15192,3342,0,9692,15500
104,2012,9,9692,362.2,23181,9455,13726,0,4147,15000
105,2012,10,4147,13.2,845,845,0,18000,7492,15500
106,2012,11,7492,0.7,45,45,0,12000,4537,15000
107,2012,12,4537,0,0,0,0,18000,7037,15500
108,2013,1,7037,11.5,736,736,0,12000,4273,15500
109,2013,2,4273,45.4,2906,2772,134,12000,5045,14000
110,2013,3,5045,27.3,1747,1747,0,12000,3292,15500
111,2013,4,3292,44.5,2847,2847,0,12000,3139,15000
112,2013,5,3139,278.6,17831,10361,7470,12000,10000,15500
113,2013,6,10000,299.1,19143,13479,5664,0,8479,15000
114,2013,7,8479,428.5,27423,17021,10402,0,10000,15500
115,2013,8,10000,451.4,28889,14849,14040,0,9349,15500
116,2013,9,9349,217.3,13909,11932,1977,0,6281,15000
117,2013,10,6281,95.7,6125,5386,739,12000,8167,15500
118,2013,11,8167,0,0,0,0,12000,5167,15000
119,2013,12,5167,0,0,0,0,18000,7667,15500
